ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,shares_missing,turnover_missing,status
APO,2960,2011-03-30,2022-12-30,180,2015-11-09,2022-09-02,ok,1161.0,1161.0,ok
APO$A,0,,,0,,,empty_ohlc,,,empty
APOS,0,,,0,,,empty_ohlc,,,empty
APTV,2798,2011-11-17,2022-12-30,204,2017-10-10,2022-11-25,ok,1482.0,1482.0,ok
AQN,3275,2009-12-29,2022-12-30,1036,2017-04-29,2022-12-30,ok,1846.0,1846.0,ok
AQNB,908,2019-05-28,2022-12-30,0,,,missing,908.0,908.0,ok
AR,2323,2013-10-10,2022-12-30,208,2015-10-28,2022-10-28,ok,516.0,516.0,ok
ARCO,2949,2011-04-14,2022-12-30,207,2015-08-11,2022-12-21,ok,1087.0,1087.0,ok
ARDC,2541,2012-11-28,2022-12-30,78,2019-06-27,2022-10-23,ok,1655.0,1655.0,ok
ARDT,0,,,0,,,empty_ohlc,,,empty
ARE,5787,2000-01-03,2022-12-30,209,2015-12-03,2022-11-24,ok,4005.0,4005.0,ok
ARES,2183,2014-05-02,2022-12-30,224,2015-11-10,2022-12-08,ok,385.0,385.0,ok
ARES$B,0,,,0,,,empty_ohlc,,,empty
ARI,3341,2009-09-24,2022-12-30,207,2015-09-24,2022-10-23,ok,1510.0,1510.0,ok
ARL,5787,2000-01-03,2022-12-30,180,2015-08-24,2022-11-25,ok,3934.0,3934.0,ok
ARLO,1111,2018-08-03,2022-12-30,243,2018-08-13,2022-11-27,ok,6.0,6.0,ok
ARMK,2279,2013-12-12,2022-12-30,179,2015-12-01,2022-12-27,ok,495.0,495.0,ok
AROC,3869,2007-08-21,2022-12-30,232,2015-11-15,2022-12-07,ok,2075.0,2075.0,ok
ARR,3797,2007-12-03,2022-12-30,252,2015-11-20,2022-12-08,ok,2007.0,2007.0,ok
ARR$C,0,,,0,,,empty_ohlc,,,empty
ARW,5787,2000-01-03,2022-12-30,208,2015-10-28,2022-11-09,ok,3980.0,3980.0,ok
ARX,0,,,0,,,empty_ohlc,,,empty
AS,0,,,0,,,empty_ohlc,,,empty
ASA,5787,2000-01-03,2022-12-30,245,2012-01-30,2023-01-01,ok,3037.0,3037.0,ok
ASAN,568,2020-09-30,2022-12-30,88,2020-09-30,2022-12-04,ok,0.0,0.0,ok
ASB,5787,2000-01-03,2022-12-30,229,2015-10-30,2022-11-25,ok,3982.0,3982.0,ok
ASB$E,0,,,0,,,empty_ohlc,,,empty
ASB$F,0,,,0,,,empty_ohlc,,,empty
ASBA,0,,,0,,,empty_ohlc,,,empty
ASC,2372,2013-08-01,2022-12-30,235,2015-10-28,2022-11-25,ok,565.0,565.0,ok
ASG,5787,2000-01-03,2022-12-30,172,2015-11-24,2022-12-08,ok,3999.0,3999.0,ok
ASGI,612,2020-07-29,2022-12-30,352,2021-02-12,2022-11-10,ok,137.0,137.0,ok
ASGN,5787,2000-01-03,2022-12-30,187,2015-11-09,2022-11-25,ok,3988.0,3988.0,ok
ASH,5787,2000-01-03,2022-12-30,197,2015-12-07,2022-12-08,ok,4007.0,4007.0,ok
ASIC,0,,,0,,,empty_ohlc,,,empty
ASIX,1585,2016-09-15,2022-12-30,254,2016-11-10,2022-11-09,ok,40.0,40.0,ok
