ticker,rows,start,end,shares_rows,shares_start,shares_end,shares_status,failure_reason,status,shares_missing,turnover_missing
AIOT,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AIP,297,2021-10-27,2022-12-30,0,,,missing,,ok,297.0,297.0
AIRE,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AIRG,1608,2016-08-12,2022-12-30,0,,,missing,,ok,1608.0,1608.0
AIRJ,231,2022-02-01,2022-12-30,0,,,missing,,ok,231.0,231.0
AIRJW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AIRO,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AIRS,295,2021-10-29,2022-12-30,0,,,missing,,ok,295.0,295.0
AIRT,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AIRTP,896,2019-06-13,2022-12-30,0,,,missing,,ok,896.0,896.0
AISP,416,2021-05-10,2022-12-30,0,,,missing,,ok,416.0,416.0
AISPW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
AIXC,1896,2015-06-23,2022-12-30,0,,,missing,,ok,1896.0,1896.0
AIXI,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AKAM,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
AKAN,202,2022-03-15,2022-12-30,0,,,missing,,ok,202.0,202.0
AKBA,2213,2014-03-20,2022-12-30,0,,,missing,,ok,2213.0,2213.0
AKTS,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AKTX,2264,2014-01-06,2022-12-30,0,,,missing,,ok,2264.0,2264.0
ALAB,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALAR,1101,2018-08-17,2022-12-30,0,,,missing,,ok,1101.0,1101.0
ALBT,1201,2018-03-27,2022-12-30,0,,,missing,,ok,1201.0,1201.0
ALCO,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ALCY,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALCYU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALCYW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ALDF,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALDFU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALDFW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ALDX,2183,2014-05-02,2022-12-30,0,,,missing,,ok,2183.0,2183.0
ALEC,983,2019-02-07,2022-12-30,0,,,missing,,ok,983.0,983.0
ALF,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALFUU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALFUW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ALGM,547,2020-10-29,2022-12-30,0,,,missing,,ok,547.0,547.0
ALGN,5516,2001-01-30,2022-12-30,0,,,missing,,ok,5516.0,5516.0
ALGS,556,2020-10-16,2022-12-30,0,,,missing,,ok,556.0,556.0
ALGT,4043,2006-12-08,2022-12-30,0,,,missing,,ok,4043.0,4043.0
ALHC,446,2021-03-26,2022-12-30,0,,,missing,,ok,446.0,446.0
ALIS,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALISR,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ALISU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALKS,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ALKT,434,2021-04-14,2022-12-30,0,,,missing,,ok,434.0,434.0
ALLO,1063,2018-10-11,2022-12-30,0,,,missing,,ok,1063.0,1063.0
ALLR,259,2021-12-21,2022-12-30,0,,,missing,,ok,259.0,259.0
ALLT,4058,2006-11-16,2022-12-30,0,,,missing,,ok,4058.0,4058.0
ALM,2404,2013-06-17,2022-12-30,0,,,missing,,ok,2404.0,2404.0
ALMS,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALMU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALNT,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ALOT,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ALOVU,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALPS,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
ALRM,1893,2015-06-26,2022-12-30,0,,,missing,,ok,1893.0,1893.0
ALRS,4982,2003-03-20,2022-12-30,0,,,missing,,ok,4982.0,4982.0
ALT,1410,2017-05-26,2022-12-30,0,,,missing,,ok,1410.0,1410.0
ALTI,425,2021-04-27,2022-12-30,0,,,missing,,ok,425.0,425.0
ALTO,4475,2005-03-24,2022-12-30,0,,,missing,,ok,4475.0,4475.0
ALTS,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
ALVO,137,2022-06-16,2022-12-30,0,,,missing,,ok,137.0,137.0
ALVOW,0,,,0,,,empty_ohlc,possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01),empty,,
ALXO,620,2020-07-17,2022-12-30,0,,,missing,,ok,620.0,620.0
ALZN,391,2021-06-15,2022-12-30,0,,,missing,,ok,391.0,391.0
AMAL,1107,2018-08-09,2022-12-30,0,,,missing,,ok,1107.0,1107.0
AMBA,2573,2012-10-10,2022-12-30,0,,,missing,,ok,2573.0,2573.0
AMBR,1265,2017-12-21,2022-12-30,0,,,missing,,ok,1265.0,1265.0
AMCI,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AMCX,2906,2011-06-16,2022-12-30,0,,,missing,,ok,2906.0,2906.0
AMIX,0,,,0,,,empty_ohlc,"possibly delisted; no price data found  (1d 2000-01-01 -> 2023-01-01) (Yahoo error = ""Data doesn't exist for startDate = 946702800, endDate = 1672549200"")",empty,,
AMKR,5787,2000-01-03,2022-12-30,0,,,missing,,ok,5787.0,5787.0
